epoch,f1,loss,val_f1,val_loss
0,0.5669244787362666,0.33076301460242125,0.6001768561599801,0.30171553107415344
1,0.5643158321831421,0.33400474492214055,0.6064217328353135,0.31434027028629474
2,0.5636102227678026,0.33480073615564576,0.614906571655998,0.31882353472724306
3,0.5638949707993578,0.3345082792530226,0.5996887825016505,0.3246718196652143
4,0.5641992340613949,0.3340580288363507,0.6025729090822592,0.3123910067277026
5,0.5642486690835905,0.3343752257105611,0.6102792143739467,0.31176999531024696
6,0.564697525958304,0.33342186919177697,0.6082632568920965,0.31023174177348706
7,0.564288230997795,0.333880805729556,0.5965044927844566,0.3073261796256716
8,0.5650898508285465,0.33276180763105834,0.6079671445041087,0.3097895630513081
9,0.5649855856912868,0.3332473960570154,0.6070495207506428,0.3180566031881502
10,0.5660084810773307,0.3314225372863516,0.5997371491703039,0.3294588797172168
11,0.5663536463878198,0.3312753705020521,0.5908016445744471,0.32581315977533887
12,0.5670139818705164,0.33027457494357737,0.5941684444965999,0.3034422841856371
13,0.5670884825102857,0.329825657410138,0.6054756885258128,0.3190967186203166
14,0.5655116825896561,0.3322497019633391,0.6037432266292577,0.31251472754215975
15,0.5684357839419907,0.3286078744951621,0.6064386212885792,0.32479929169435023
16,0.5692765793280435,0.32795735653900476,0.605702744253916,0.32238436474562254
17,0.569220774468645,0.32744281193632657,0.6051135303089736,0.3157054188668938
18,0.5697600926684051,0.3264221369029626,0.6017294155449858,0.320716959706297
19,0.57027969043092,0.32650150655364996,0.6024771409162267,0.32305040416294306
20,0.5704408209390925,0.32611604742848843,0.6023471266390144,0.3154776341055956
