epoch,f1,loss,val_f1,val_loss
0,0.567030811053425,0.33142875150302575,0.6032149394985097,0.3032442433872322
1,0.5699558913415359,0.32724420819089617,0.6102119844773232,0.29307159866404453
2,0.5719800019197822,0.324716022615216,0.610807576847937,0.2960706014560002
3,0.5727575469182672,0.3233576617401765,0.6044066818839557,0.3044750433756181
4,0.5746079718964878,0.3213857705764892,0.6159371250924326,0.3079453394263377
5,0.575419825687208,0.3201383462497117,0.6070476566550405,0.30271317121935254
6,0.5760451261653728,0.31929624957122726,0.6180912449000592,0.32785446955202074
7,0.5758574454822877,0.31949852587955896,0.6106860432130651,0.3075693314278061
8,0.5781737184331762,0.31623985705310914,0.6180134113802469,0.304417975661769
9,0.578668310148384,0.31599859929686663,0.6127871701560306,0.29475383503108377
10,0.5684498307076126,0.3285806728209018,0.6202715776229304,0.30897208014238964
11,0.5775557756482853,0.3170644361982876,0.6079590366165026,0.30297620261599284
12,0.5788559687828377,0.31521397299123677,0.617244488793872,0.306221251561808
13,0.5800756036520925,0.3135363317900718,0.624292850966035,0.3127772570505214
14,0.5810225940089097,0.3125054128636848,0.6257240459987834,0.32638240197436913
15,0.582537552339099,0.31110415558686055,0.6313291200832327,0.297484647093996
16,0.5829920966861611,0.31013793315198607,0.6069981322539221,0.3138476267177006
17,0.5827247448496301,0.31020568733426956,0.630197981121811,0.30987067866661316
18,0.5842884588845603,0.3087359877125763,0.6235746521187109,0.30597957505061624
19,0.5847377088158949,0.30806800672904655,0.6256019833065842,0.3166316541193101
20,0.58602580899795,0.30635499999568355,0.6243228156787742,0.30809923210632556
21,0.5876022198324957,0.30433555675324725,0.6303553495871661,0.30682260384913973
